,Epoch,Time,Train_Accuracy,Val_Accuracy,Train_Loss,Valid_Loss
0,1,124.10090899467468,0.3710833333333333,0.389,1.0882913660495839,1.087672512582008
1,2,244.56193017959595,0.712,0.716,0.5703823089282564,0.5791592192142567
2,3,366.77276968955994,0.8985,0.8876666666666667,0.3043478222444971,0.3174883444258507
3,4,489.1845827102661,0.8606666666666667,0.8523333333333334,0.3427247353532213,0.36474741107605874
4,5,611.963782787323,0.8960833333333333,0.8796666666666667,0.26310976559018834,0.2895107719492405
5,6,735.7846608161926,0.9281666666666667,0.915,0.19104187721584706,0.20661865127213458
6,7,860.424905538559,0.8524166666666667,0.8443333333333334,0.37642183868174856,0.3879462404454008
7,8,983.4399354457855,0.93425,0.9306666666666666,0.17622372016627738,0.19291427224240404
8,9,1105.2190389633179,0.93925,0.9263333333333333,0.16909097751325114,0.2011091820103057
9,10,1227.455436706543,0.94325,0.9306666666666666,0.15107655907644235,0.17621552341795982
10,11,1351.8599784374237,0.9398333333333333,0.9296666666666666,0.15401618573022016,0.18100255696063347
11,12,1475.1993508338928,0.9535833333333333,0.9423333333333334,0.11351596503617599,0.1401476280644853
12,13,1597.3540344238281,0.9688333333333333,0.9653333333333334,0.0902945096604526,0.10320895601143228
13,14,1719.7454600334167,0.9483333333333334,0.946,0.14185812160808672,0.1611849340669652
14,15,1840.625694513321,0.9709166666666667,0.9626666666666667,0.08030562062173131,0.09459582605260483
15,16,1964.6375606060028,0.9700833333333333,0.9623333333333334,0.08214075560186138,0.11148683790196763
16,17,2090.0567944049835,0.9661666666666666,0.9596666666666667,0.09027273166786007,0.12187199033004173
17,18,2214.9044115543365,0.96225,0.9553333333333334,0.0999664515752266,0.12302196358746671
18,19,2340.2180967330933,0.9798333333333333,0.97,0.055013630194886726,0.08046049575143038
19,20,2465.0907974243164,0.972,0.9636666666666667,0.06959736646906017,0.09338705935218233
20,21,2589.88520693779,0.9733333333333334,0.9686666666666667,0.07589463927248057,0.08938748056584216
21,22,2712.8797838687897,0.976,0.97,0.06037595311050957,0.08777095668731218
22,23,2837.0782372951508,0.9850833333333333,0.9766666666666667,0.043818312028343694,0.06379993905887958
23,24,2962.207478284836,0.9888333333333333,0.982,0.03413828094415565,0.04928952998461875
24,25,3086.2010695934296,0.9923333333333333,0.9873333333333333,0.023712504692276582,0.03686534124426544
25,26,3211.0068774223328,0.98625,0.979,0.03665926356916316,0.0579898120597639
26,27,3334.0417342185974,0.9923333333333333,0.983,0.020975372216545364,0.03972415912133503
27,28,3456.523278236389,0.983,0.9756666666666667,0.04369968889055754,0.06747394441032505
28,29,3580.5645871162415,0.9908333333333333,0.9873333333333333,0.02867787586961021,0.038623993488107904
29,30,3703.847197532654,0.9921666666666666,0.9876666666666667,0.0244317729759248,0.03230638435962511
30,31,3826.4292135238647,0.99575,0.99,0.01382552378592973,0.02649265387036065
31,32,3950.766663789749,0.9930833333333333,0.9896666666666667,0.018662822525081363,0.032849836509991834
32,33,4074.679222345352,0.9964166666666666,0.9943333333333333,0.01207390429044608,0.019923062135584334
33,34,4196.53711271286,0.9940833333333333,0.9876666666666667,0.015114951366063287,0.029684818181347973
34,35,4318.768713474274,0.99,0.981,0.028054963726119358,0.0507919407756801
35,36,4440.392545938492,0.9925,0.9886666666666667,0.02032788560175872,0.030905259411504613
36,37,4561.603559494019,0.9975,0.9923333333333333,0.008677122577671283,0.02349902456750142
37,38,4682.905832529068,0.9981666666666666,0.9926666666666667,0.006230602848672982,0.018597965167112093
38,39,4804.540688753128,0.9936666666666667,0.9873333333333333,0.01869711735436911,0.04453322015445125
39,40,4928.963134527206,0.99325,0.987,0.020298799242888715,0.033830399865264746
