accuracy_list_traing,loss_list_training,accuracy_list_test,loss_list_test
0.437,267.509,0.637,47.876
0.365,269.597,0.347,66.473
0.413,245.283,0.63,42.141
0.672,134.169,0.726,31.506
0.806,104.279,0.569,51.285
0.838,95.572,0.873,19.784
0.872,78.148,0.873,19.147
0.899,61.89,0.888,16.694
0.909,55.645,0.908,13.967
0.911,53.751,0.86,19.992
0.936,40.297,0.887,20.279
0.95,32.343,0.91,15.364
0.961,25.607,0.887,18.855
0.965,21.501,0.892,22.085
0.966,23.58,0.904,16.55
0.976,15.247,0.916,17.796
0.982,11.812,0.914,22.293
0.984,10.346,0.905,22.479
0.994,4.294,0.913,29.011
0.994,3.552,0.921,22.06
0.987,9.173,0.915,24.189
0.983,11.692,0.869,24.855
0.99,7.219,0.914,18.998
0.997,2.432,0.917,29.135
0.984,12.282,0.922,24.283
0.999,1.16,0.921,28.243
0.999,0.652,0.911,31.178
1.0,0.099,0.922,30.882
1.0,0.019,0.922,32.255
1.0,0.012,0.922,33.175
